team,standing,wins,losses,draws,goals_for,goals_against,points,num_players,xg
New England Revolution,20,10,12,12,47,50,42,32,44.7
New York Red Bulls,6,15,11,8,50,41,53,28,45.5
Real Salt Lake,14,12,11,11,43,45,47,31,45.1
D.C. United,28,7,21,6,36,71,27,38,36.9
Seattle Sounders,21,12,17,5,47,46,41,26,47.8
Inter Miami,12,14,14,6,47,56,48,30,42
Colorado Rapids,18,11,13,10,46,57,43,28,50.8
Minnesota United,11,14,14,6,48,51,48,26,45.4
Houston Dynamo,25,10,18,6,43,56,36,27,44.3
Charlotte FC,19,13,18,3,44,52,42,32,41.8
Orlando City,13,14,14,6,44,53,48,27,40.1
Toronto FC,27,9,18,7,49,66,34,33,42.3
LA Galaxy,8,14,12,8,58,51,50,25,59.6
CF Montréal,3,20,9,5,63,50,65,25,55.3
Nashville SC,9,13,10,11,52,41,50,23,52.4
Columbus Crew,16,10,8,16,46,41,46,26,40.6
Atlanta United,23,10,14,10,48,54,40,32,55.8
FC Dallas,7,14,9,11,48,37,53,24,42.4
FC Cincinnati,10,12,9,13,64,56,49,28,55.7
Philadelphia Union,2,19,5,10,72,26,67,22,59.3
Vancouver Whitecaps FC,17,12,15,7,40,57,43,33,38.3
Chicago Fire,24,10,15,9,39,48,39,28,47
New York City FC,5,16,11,7,57,41,55,25,58.5
Austin FC,4,16,10,8,65,49,56,26,50.9
Portland Timbers,15,11,10,13,53,53,46,27,50.3
Sporting Kansas City,22,11,16,7,42,54,40,25,38.8
Los Angeles FC,1,21,9,4,66,38,67,30,62.2
San Jose Earthquakes,26,8,15,11,52,69,35,27,44.9
